Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
11,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,8.3,Average
12,Barbell Side Bend,,Strength,Abdominals,Barbell,Beginner,7.0,Average
20,Advanced Kettlebell Windmill,,Strength,Abdominals,Kettlebells,Beginner,8.3,Average
22,Kettlebell Pass Between The Legs,,Strength,Abdominals,Kettlebells,Beginner,7.3,Average
40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,9.3,Average
91,Plate Twist,,Strength,Abdominals,Other,Beginner,9.0,Average
156,Bosu Ball Cable Crunch With Side Bends,,Strength,Abdominals,Cable,Beginner,8.5,Average
158,Cable reverse crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",Strength,Abdominals,Cable,Beginner,8.2,Average
159,Cable Russian Twists,,Strength,Abdominals,Cable,Beginner,8.1,Average
161,Cable Seated Crunch,,Strength,Abdominals,Cable,Beginner,7.7,Average
162,Cable Judo Flip,,Strength,Abdominals,Cable,Beginner,5.0,Average
194,Gorilla Chin/Crunch,,Strength,Abdominals,Body Only,Beginner,9.0,Average
202,Crunch - Hands Overhead,,Strength,Abdominals,Body Only,Beginner,8.6,Average
204,Stomach Vacuum,,Stretching,Abdominals,Body Only,Beginner,8.5,Average
208,Butt-Ups,,Strength,Abdominals,Body Only,Beginner,8.3,Average
217,Janda Sit-Up,,Strength,Abdominals,Body Only,Beginner,7.4,Average
