exercise_name,type,bodypart,equipment,target
Bench barbell roll-out,Strength,Abdominals,Barbell,none
Barbell Side Bend,Strength,Abdominals,Barbell,none
Advanced Kettlebell Windmill,Strength,Abdominals,Kettlebells,none
Kettlebell Pass Between The Legs,Strength,Abdominals,Kettlebells,none
Dumbbell spell caster,Strength,Abdominals,Dumbbell,none
Plate Twist,Strength,Abdominals,Other,none
Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,Cable,none
Cable reverse crunch,Strength,Abdominals,Cable,none
Cable Russian Twists,Strength,Abdominals,Cable,none
Cable Seated Crunch,Strength,Abdominals,Cable,none
Cable Judo Flip,Strength,Abdominals,Cable,none
Gorilla Chin/Crunch,Strength,Abdominals,Body Only,none
Crunch - Hands Overhead,Strength,Abdominals,Body Only,none
Stomach Vacuum,Stretching,Abdominals,Body Only,none
Butt-Ups,Strength,Abdominals,Body Only,none
Janda Sit-Up,Strength,Abdominals,Body Only,none
Leg Pull-In,Strength,Abdominals,Body Only,none
Cross Crunch,Strength,Abdominals,Body Only,none
Full Moon,Strength,Abdominals,Body Only,none
Hanging knee raise with manual resistance,Strength,Abdominals,Body Only,none
Partner lying leg raise with lateral throw down,Strength,Abdominals,Body Only,none
Hanging leg raise with throw down,Strength,Abdominals,Body Only,none
Partner sit-up with high-five,Strength,Abdominals,Body Only,none
Partner lying leg raise with throw down,Strength,Abdominals,Body Only,none
Partner target sit-up,Strength,Abdominals,Body Only,none
Suspended Crunch,Strength,Abdominals,Body Only,none
Partner front Russian twist and pass,Strength,Abdominals,Medicine Ball,none
Partner side Russian twist and pass,Strength,Abdominals,Medicine Ball,none
Weighted Ball Side Bend,Strength,Abdominals,Exercise Ball,none
Band Hip Adductions,Strength,Adductors,Bands,none
Adductor SMR,Stretching,Adductors,Foam Roll,none
Lying Bent Leg Groin,Stretching,Adductors,Other,none
Standing Hip Circles,Stretching,Abductors,Body Only,none
Groiners,Stretching,Adductors,Body Only,none
Fire Hydrant,Strength,Abductors,Body Only,none
Side Leg Raises,Stretching,Adductors,Body Only,none
Single-leg lying cross-over stretch,Stretching,Abductors,Body Only,none
Groin and Back Stretch,Stretching,Adductors,none,none
Adductor/Groin,Stretching,Adductors,none,none
Brachialis SMR,Stretching,Biceps,Foam Roll,none
Wide-grip barbell curl,Strength,Biceps,Barbell,none
Close-grip EZ-bar curl,Strength,Biceps,Barbell,none
Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,none
Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,none
Close-grip barbell curl,Strength,Biceps,Barbell,none
Drag curl,Strength,Biceps,Barbell,none
Lying High Bench Barbell Curl,Strength,Biceps,Barbell,none
Seated wide-grip curl to close-grip curl,Strength,Biceps,Barbell,none
Seated Straigh-Bar Curl Superset,Strength,Biceps,Barbell,none
Incline Hammer Curls,Strength,Biceps,Dumbbell,none
Biceps curl to shoulder press,Strength,Biceps,Dumbbell,none
Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,none
Cross-body hammer curl,Strength,Biceps,Dumbbell,none
Standing concentration curl,Strength,Biceps,Dumbbell,none
Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,none
Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,none
Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,none
Palms-out incline biceps curl,Strength,Biceps,Dumbbell,none
Straight-arm plank with biceps curl,Strength,Biceps,Dumbbell,none
Face-down incline dumbbell biceps curl,Strength,Biceps,Dumbbell,none
Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,none
Standing Inner-Biceps Curl,Strength,Biceps,Dumbbell,none
Reverse Plate Curls,Strength,Biceps,Other,none
Standing Biceps Stretch,Stretching,Biceps,Other,none
Suspended Curl,Strength,Biceps,Other,none
Plate hammer curl,Strength,Biceps,Other,none
Standing One-Arm Cable Curl,Strength,Biceps,Cable,none
Reverse Cable Curl,Strength,Biceps,Cable,none
Lying cable biceps curl,Strength,Biceps,Cable,none
Cable rope preacher hammer curl,Strength,Biceps,Cable,none
Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,none
Machine Bicep Curl,Strength,Biceps,Machine,none
Machine Preacher Curls,Strength,Biceps,Machine,none
Seated Biceps,Stretching,Biceps,Body Only,none
Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,none
Close-Grip EZ-Bar Curl with Band,Strength,Biceps,E-Z Curl Bar,none
Calf Raises - With Bands,Strength,Calves,Bands,none
Calf SMR,Stretching,Calves,Foam Roll,none
Rocking Standing Calf Raise,Strength,Calves,Barbell,none
Standing barbell calf raise,Strength,Calves,Barbell,none
Barbell Seated Calf Raise,Strength,Calves,Barbell,none
Calf Raise On A Dumbbell,Strength,Calves,Dumbbell,none
Balance Board,Strength,Calves,Other,none
Anterior Tibialis-SMR,Stretching,Calves,Other,none
Foot-SMR,Stretching,Calves,Other,none
Standing Calf Raises,Strength,Calves,Machine,none
Calf Press,Strength,Calves,Machine,none
Smith Machine Reverse Calf Raises,Strength,Calves,Machine,none
Knee Circles,Stretching,Calves,Body Only,none
Ankle Circles,Stretching,Calves,none,none
Calf Stretch Elbows Against Wall,Stretching,Calves,none,none
Standing Soleus And Achilles Stretch,Stretching,Calves,none,none
Cross Over - With Bands,Strength,Chest,Bands,none
Bench Press - With Bands,Strength,Chest,Bands,none
Bench Press With Short Bands,Powerlifting,Chest,Bands,none
Feet-Elevated TRX Push-Up,Strength,Chest,Bands,none
Wide-grip bench press,Strength,Chest,Barbell,none
Wide-Grip Decline Barbell Bench Press,Strength,Chest,Barbell,none
Neck Press,Strength,Chest,Barbell,none
Front Raise And Pullover,Strength,Chest,Barbell,none
Barbell Bench Press-Wide Grip,Strength,Chest,Barbell,none
Wide-Grip Decline Barbell Pullover,Strength,Chest,Barbell,none
Barbell Guillotine Bench Press,Strength,Chest,Barbell,none
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,none
Kettlebell alternating floor press,Strength,Chest,Kettlebells,none
One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,none
Leg-Over Floor Press,Strength,Chest,Kettlebells,none
Hands-elevated push-up,Strength,Chest,Body Only,none
Single-Arm Push-Up,Strength,Chest,Body Only,none
Wide-grip hands-elevated push-up,Strength,Chest,Body Only,none
Isometric Wipers,Strength,Chest,Body Only,none
Clock push-up,Strength,Chest,Body Only,none
Push-Up Wide,Strength,Chest,Body Only,none
Close-Hands Push-Up,Strength,Chest,Body Only,none
Tiger-bend push-up,Strength,Chest,Body Only,none
Plyo push-up,Plyometrics,Chest,Body Only,none
Isometric Chest Squeezes,Plyometrics,Chest,Body Only,none
Side-to-side push-up,Strength,Chest,Body Only,none
Typewriter push-up,Strength,Chest,Body Only,none
Judo push-up,Strength,Chest,Body Only,none
Superman Push-Up,Plyometrics,Chest,Body Only,none
Wide push-up,Strength,Chest,Body Only,none
One-Arm Push-Up,Strength,Chest,Body Only,none
Clapping Push-Up,Plyometrics,Chest,Body Only,none
